LEI_code,Name,Country
PQOH26KWDF7CG10L6792,Erste Group Bank AG,Austria
5299004SNO5GECIBWJ18,Promontoria Sacher Holding N.V.,Austria
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,Austria
529900SXEWPJ1MRRX537,Raiffeisen-Holding Niederösterreich-Wien Registrierte Genossenschaft Mit Beschränkter Haftung,Austria
EVOYOND2GGP3UHGGE885,Raiffeisen Zentralbank Österreich Aktiengesellschaft,Austria
529900IZ8TASAYR3A694,Sberbank Europe AG,Austria
D1HEB8VEU6D9M8ZUXG17,UniCredit Bank Austria AG,Austria
529900D4CD6DIB3CI904,Volksbanken Wien-Baden AG,Austria
15DYKVGPQCMYBH2DZ583,VTB Bank AG,Austria
LSGM84136ACA92XCN876,AXA Bank Europe SA,Belgium
MMYX0N4ZEZ13Z4XCG897,Bank of New York Mellon,Belgium
A5GWLFH3KM7YV2SFQL84,Belfius Banque SA,Belgium
KGCEPHLVVKVRZYO1T647,BNP Paribas Fortis SA,Belgium
D3K6HXMBBB6SK9OXH394,Dexia NV,Belgium
5493008QOCP58OLEN998,Investar,Belgium
213800X3Q9LSAKRUWY91,KBC Group NV,Belgium
529900GEH0DAUTAXUA94,DSK Bank Bulgaria,Bulgaria
549300UY81ESCZJ0GR95,First Investment Bank,Bulgaria
549300Z7V2WOFIMUEK50,UniCredit Bulbank Bulgaria,Bulgaria
549300A2F46GR0UOM390,Erste & Steiermärkische Bank d.d.,Croatia
549300ZHFZ4CSK7VS460,Privredna Banka Zagreb d.d.,Croatia
PRNXTNXHBI0TSY1V8P17,Zagrebacka Banka d.d.,Croatia
PQ0RAP85KK9Z75ONZW93,Bank of Cyprus Public Company Limited,Cyprus
5493007F6CE5P22TJ731,Co -operative Central Bank  Ltd,Cyprus
CXUHEGU3MADZ2CEV7C11,Hellenic Bank Public Company Ltd,Cyprus
253400EBCBBVB9TUHN50,RCB Bank Ltd,Cyprus
9KOGW2C2FCIOJQ7FF485,"Česká spořitelna, a.s.",Czech Republic
Q5BP2UEQ48R75BOTCB92,"Československá obchodní banka, a.s.",Czech Republic
IYKCAVNFR8QGF00HV840,"Komerční banka, a.s.",Czech Republic
MAES062Z21O4RZ2U7M96,Danske Bank A/S,Denmark
3M5E1GQGKL17HI6CPN30,Jyske Bank A/S,Denmark
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S,Denmark
GP5DT10VX1QRQUKVBK64,Sydbank A/S,Denmark
213800JD2L89GGG7LF07,AS DNB Pank,Estonia
529900JG015JC10LED24,AS LHV Group,Estonia
549300ND1MQ8SNNYMJ22,SEB Pank AS,Estonia
549300PHQZ4HL15HH975,Swedbank AS,Estonia
3BAUHUB4IZR54J3EPO08,Danske Bank Oyj,Finland
529900HEKOENJHPNN480,Kuntarahoitus Oyj,Finland
7437003B5WFBOIEFY714,OP Financial group,Finland
R1IO4YJ0O79SMWVCHB58,Banque Centrale de Compensation (LCH Clearnet),France
R0MUWSFPU8MPRO8K5P83,BNP Paribas SA,France
969500FYSB4IT3QWYB65,Bpifrance (Banque Publique d’Investissement),France
9695000CG7B84NLR5984,Crédit Mutuel Group,France
969500TVVZM86W7W5I94,CRH (Caisse de Refinancement de l'Habitat),France
,Groupe BPCE,France
,Groupe Credit Agricole,France
F0HUI1NY1AZMJMD8LP67,HSBC France,France
96950066U5XAAIRCPA78,La Banque Postale,France
96950001WI712W7PQG45,RCI banque (Renault Crédit Industriel),France
549300HFEHJOXGE4ZE63,SFIL (Société de Financement Local),France
O2RNE8IBXP4R0TD8PU41,Société Générale SA,France
EZKODONU5TYHW4PP1R34,Aareal Bank AG,Germany
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,Germany
851WYGNLUQLFZBSYGB56,Commerzbank AG,Germany
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany
5299007S3UH5RKUYDA52,Deutsche Apotheker- und Ärztebank eG,Germany
7LTWFZYICNSX8D621K86,Deutsche Bank AG,Germany
DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,Germany
529900HNOAA1KXQJUQ27,Deutsche Zentral-Genossenschaftsbank AG,Germany
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,Germany
529900JZTYE3W7WQH904,HASPA Finanzholding AG,Germany
529900OQ416JMY9LQO42,HSH Beteiligungs Management GmbH,Germany
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,Germany
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,Germany
0SK1ILSPWNVBNQWU0W18,Landeskreditbank Baden-Württemberg–Förderbank,Germany
529900Z3J0N6S0F7CT25,Landwirtschaftliche Rentenbank,Germany
529900GM944JT8YIRL63,Münchener Hypothekenbank eG,Germany
DSNHHQ2B9X5N6OUJ1236,NORD/LB Norddeutsche Landesbank Girozentrale,Germany
52990002O5KK6XOGJ020,"NRW.BANK, Düsseldorf",Germany
529900V3O1M5IHMOSF46,State Street Europe Holdings,Germany
529900USFSZYPS075O24,VW Financial Services AG,Germany
5299009N55YRQC69CN08,Alpha Bank AE,Greece
JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias SA,Greece
5UMCZOEYKCVFAW8ZLO05,National Bank of Greece SA,Greece
M6AD1Y1KW32H8THQ6F76,Piraeus Bank SA,Greece
KFUXYFTU2LHQFQZDQG45,Kereskedelmi és Hitelbank Zrt.,Hungary
529900W3MOO00A18X956,OTP Bank Nyrt.,Hungary
Y28RT6GGYJ696PMW8T44,UniCredit Bank Hungary Zrt.,Hungary
3U8WV1YX2VMUHH7Z1Q21,"Allied Irish Banks, Plc",Ireland
Q2GQA2KF6XJ24W42G291,Bank of Ireland,Ireland
549300K7L8YW8M215U46,Citibank Holdings Ireland Limited,Ireland
